"","iso3c","date","region","subregion","population","hospital_beds_per_thousand","population_density","median_age","aged_65_older","aged_70_older","life_expectancy","daily_covid_deaths","daily_covid_deaths_per_100k","daily_covid_cases","daily_covid_cases_per_100k","daily_tests","daily_tests_per_100k","daily_positive_rate","daily_vaccinations","daily_vaccinations_per_100k","vaccinated_pct","fully_vaccinated_pct","daily_total_deaths","daily_total_deaths_per_100k","daily_expected_deaths","daily_expected_deaths_per_100k","daily_excess_deaths","daily_excess_deaths_per_100k","cumulative_daily_tests_per_100k","cumulative_daily_covid_cases_per_100k","cumulative_daily_covid_deaths_per_100k","cumulative_daily_vaccinations_per_100k","weekday","vdem_freedom_of_expression_score","vdem_liberal_democracy_score","boix_democracy_yes_no","boix_democracy_duration_years","freedom_house_civil_liberties","freedom_house_political_rights","freedom_house_freedom_score","polity_democracy_score","island","wdi_obs_lag","wdi_prop_NA","wdi_prop_less_2_usd_day","wdi_gini_index","wdi_life_expectancy_at_birth","wdi_gdppc_nominal","wdi_gdppc_ppp","wdi_urban_population_pct","wdi_pop_over_65","wdi_pop_under_15","wdi_urban_pop_1m_cities_pct","lat_largest_city","lng_largest_city","lat_capital","lng_capital","largest_city_pop_pct","demography_adjusted_ifr","tourist_arrivals_in_thousands_2019_per_100k","centroid_latitude","centroid_longitude","mean_elevation","mean_distance_to_coast","percent_land_area_in_tropics","AIDS_deaths_latest_per_100k","AIDS_deaths_latest_year","TB_deaths_latest_per_100k","malaria_deaths_latest_per_100k","total_deaths_latest_per_100k","mobility_retail_rec_pct_of_baseline","mobility_grocery_and_pharma_pct_of_baseline","mobility_parks_pct_of_baseline","mobility_transit_rec_pct_of_baseline","mobility_workplaces_rec_pct_of_baseline","oxcgrt_schools_closed","oxcgrt_workplaces_closed","oxcgrt_cancel_public_events","oxcgrt_gathering_restrictions","oxcgrt_public_transport_closed","oxcgrt_stay_at_home_required","oxcgrt_internal_movement_restrictions","oxcgrt_international_movement_restrictions","oxcgrt_face_masks_required","sero_nat_delta","sero_nat_or_reg_delta","sero_nat_30d_wma_interpolated","sero_reg_or_nat_30d_wma_interpolated","weekly_mean_temperature_in_major_cities_2015_2019","country","wb_income_group","imf_economy","economist_region","is_subregion","continent","sero_nat_or_reg_delta_region_average","sero_nat_or_reg_delta_sub_region_average","sero_nat_or_reg_delta_econ_region_average","sero_nat_delta_region_average","sero_nat_delta_sub_region_average","sero_nat_delta_econ_region_average","sero_nat_30d_wma_interpolated_region_average","sero_nat_30d_wma_interpolated_sub_region_average","sero_nat_30d_wma_interpolated_econ_region_average","sero_reg_or_nat_30d_wma_interpolated_region_average","sero_reg_or_nat_30d_wma_interpolated_sub_region_average","sero_reg_or_nat_30d_wma_interpolated_econ_region_average","daily_excess_deaths_per_100k_region_average","daily_excess_deaths_per_100k_sub_region_average","daily_excess_deaths_per_100k_econ_region_average","daily_tests_per_100k_region_average","daily_tests_per_100k_sub_region_average","daily_tests_per_100k_econ_region_average","daily_covid_cases_per_100k_region_average","daily_covid_cases_per_100k_sub_region_average","daily_covid_cases_per_100k_econ_region_average","daily_covid_deaths_per_100k_region_average","daily_covid_deaths_per_100k_sub_region_average","daily_covid_deaths_per_100k_econ_region_average","daily_positive_rate_region_average","daily_positive_rate_sub_region_average","daily_positive_rate_econ_region_average","demography_adjusted_ifr_region_average","demography_adjusted_ifr_sub_region_average","demography_adjusted_ifr_econ_region_average","daily_tests_per_100k_dist_average","daily_covid_cases_per_100k_dist_average","daily_covid_deaths_per_100k_dist_average","daily_positive_rate_dist_average","daily_excess_deaths_per_100k_dist_average","daily_tests_per_100k_contiguous_country_average","daily_covid_cases_per_100k_contiguous_country_average","daily_covid_deaths_per_100k_contiguous_country_average","daily_positive_rate_contiguous_country_average","daily_excess_deaths_per_100k_contiguous_country_average","demography_adjusted_ifr_dist_average","demography_adjusted_ifr_contiguous_country_average","daily_vaccinations_per_100k_lagged_two_weeks","vaccinated_pct_lagged_two_weeks","fully_vaccinated_pct_lagged_two_weeks","cumulative_daily_vaccinations_per_100k_lagged_two_weeks","vaccinated_pct_over_pop_65","fully_vaccinated_pct_over_pop_65","vaccinated_pct_over_covid_deaths","vaccinated_pct_over_covid_cases","fully_vaccinated_pct_over_covid_deaths","fully_vaccinated_pct_over_covid_cases","vaccinated_pct_65_plus_over_covid_deaths","fully_vaccinated_pct_65_plus_over_covid_deaths","virus_discovery_country","vaccinated_pct_intp","fully_vaccinated_pct_intp","cumulative_daily_vaccinations_per_100k_intp","vaccinated_pct_lagged_two_weeks_intp","fully_vaccinated_pct_lagged_two_weeks_intp","cumulative_daily_vaccinations_per_100k_lagged_two_weeks_intp","vaccinated_pct_over_pop_65_intp","fully_vaccinated_pct_over_pop_65_intp","gdpppc_ppp_imf","temporal_recency"
"25778","CHN",2020-01-06,"East Asia & Pacific","Eastern Asia",1444216102,4.34,147.674,38.7,10.641,5.929,76.91,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,-1008.93899760771,-0.072064497525639,0,0,0,0,1,0.077,0.05,0,216,11,-1,10,-7,FALSE,0,0,0.5,38.5,76.912,10500.3956159637,17311.9979202848,61.428,11.9682712029347,17.7118153851715,29.2211219931075,31.23,121.47,39.93,116.4,0.0103985705319328,0.497013631102855,10.9821514786019,36.59114,103.9404,1839.95,1090.58,0.0319153,NA,NA,2.1464931707291,0,699.728774648436,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3.26141714920911,"China","Upper middle income","Emerging","Asia","NO","Asia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0.431918222111563,0.703138340439921,0.397214042838443,NA,0,0,0,0,NA,0,0,NA,0,0.421046241553652,0.352326191158374,NA,NA,NA,NA,9.3976130062964,9.3976130062964,0,0,0,0,0,0,TRUE,0,0,0,NA,NA,NA,9.3976130062964,9.3976130062964,15983.52,-709
"150518","TWN",2020-01-06,"East Asia & Pacific","Eastern Asia",23855008,NA,NA,42.2,NA,8.353,80.46,0,0,0,0,NA,NA,NA,0,0,0,0,473.322580645161,1.98416441799207,499.151883387968,2.09244064553643,0,0,0,0,0,0,1,0.86,0.697,1,20,56,37,93,10,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.02,121.45,25.02,121.45,0.104450268891128,0.708751278908246,49.7337917472088,23.64485,121.0021,1150.337,27.0496,0.4370258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,17.6234452675989,"Taiwan","High income","Advanced","Asia","NO","Asia",0,0,0,0,0,0,0,0,0,0,0,0,-0.00663076307268381,-0.0149376561169709,-0.00573008078755163,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0.424743491624534,0.665745224978611,0.391609952186892,NA,0,0,0,-0.00120213532731081,NA,NA,NA,NA,NA,0.418748029794204,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,0,0,0,NA,NA,NA,NA,NA,51260.91,-709
"25967","CHN",2020-01-07,"East Asia & Pacific","Eastern Asia",1444216102,4.34,147.674,38.7,10.641,5.929,76.91,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,-1008.93899760771,-0.072064497525639,0,0,0,0,2,0.077,0.05,0,216,11,-1,10,-7,FALSE,0,0,0.5,38.5,76.912,10500.3956159637,17311.9979202848,61.428,11.9682712029347,17.7118153851715,29.2211219931075,31.23,121.47,39.93,116.4,0.0103985705319328,0.497013631102855,10.9821514786019,36.59114,103.9404,1839.95,1090.58,0.0319153,NA,NA,2.1464931707291,0,699.728774648436,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3.26141714920911,"China","Upper middle income","Emerging","Asia","NO","Asia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0.431918222111563,0.703138340439921,0.397214042838443,NA,0,0,8.67879143721541,0,NA,0,0,NA,0,0.421046241553652,0.352326191158374,NA,NA,NA,NA,9.3976130062964,9.3976130062964,0,0,0,0,0,0,TRUE,0,0,0,NA,NA,NA,9.3976130062964,9.3976130062964,15983.52,-708
"150505","TWN",2020-01-07,"East Asia & Pacific","Eastern Asia",23855008,NA,NA,42.2,NA,8.353,80.46,0,0,0,0,NA,NA,NA,0,0,0,0,473.322580645161,1.98416441799207,499.151883387968,2.09244064553643,0,0,0,0,0,0,2,0.86,0.697,1,20,56,37,93,10,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.02,121.45,25.02,121.45,0.104450268891128,0.708751278908246,49.7337917472088,23.64485,121.0021,1150.337,27.0496,0.4370258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,17.6234452675989,"Taiwan","High income","Advanced","Asia","NO","Asia",0,0,0,0,0,0,0,0,0,0,0,0,-0.00663076307268381,-0.0149376561169709,-0.00573008078755163,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0.424743491624534,0.665745224978611,0.391609952186892,NA,0,0,8.72174368043679,-0.00120213532731081,NA,NA,NA,NA,NA,0.418748029794204,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,0,0,0,NA,NA,NA,NA,NA,51260.91,-708
"25728","CHN",2020-01-08,"East Asia & Pacific","Eastern Asia",1444216102,4.34,147.674,38.7,10.641,5.929,76.91,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,-1256.89410338217,-0.0897749439935838,0,0,0,0,3,0.077,0.05,0,216,11,-1,10,-7,FALSE,0,0,0.5,38.5,76.912,10500.3956159637,17311.9979202848,61.428,11.9682712029347,17.7118153851715,29.2211219931075,31.23,121.47,39.93,116.4,0.0103985705319328,0.497013631102855,10.9821514786019,36.59114,103.9404,1839.95,1090.58,0.0319153,NA,NA,2.1464931707291,0,699.728774648436,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3.12183714961132,"China","Upper middle income","Emerging","Asia","NO","Asia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0.431918222111563,0.703138340439921,0.397214042838443,0.0557748276191092,0,0,8.39424089829031,0,NA,0,0,NA,0,0.421046241553652,0.352326191158374,NA,NA,NA,NA,9.3976130062964,9.3976130062964,0,0,0,0,0,0,TRUE,0,0,0,NA,NA,NA,9.3976130062964,9.3976130062964,15983.52,-707
"150446","TWN",2020-01-08,"East Asia & Pacific","Eastern Asia",23855008,NA,NA,42.2,NA,8.353,80.46,0,0,0,0,NA,NA,NA,0,0,0,0,473.322580645161,1.98416441799207,499.151883387968,2.09244064553643,0,0,0,0,0,0,3,0.86,0.697,1,20,56,37,93,10,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.02,121.45,25.02,121.45,0.104450268891128,0.708751278908246,49.7337917472088,23.64485,121.0021,1150.337,27.0496,0.4370258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,17.3829583992733,"Taiwan","High income","Advanced","Asia","NO","Asia",0,0,0,0,0,0,0,0,0,0,0,0,-0.00826032795515055,-0.0186087086893149,-0.00713829554695972,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0.424743491624534,0.665745224978611,0.391609952186892,0.0557905333023375,0,0,8.43578487124215,-0.00149757002945369,NA,NA,NA,NA,NA,0.418748029794204,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,0,0,0,NA,NA,NA,NA,NA,51260.91,-707
"25736","CHN",2020-01-09,"East Asia & Pacific","Eastern Asia",1444216102,4.34,147.674,38.7,10.641,5.929,76.91,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,-1256.89410338217,-0.0897749439935838,0,0,0,0,4,0.077,0.05,0,216,11,-1,10,-7,FALSE,0,0,0.5,38.5,76.912,10500.3956159637,17311.9979202848,61.428,11.9682712029347,17.7118153851715,29.2211219931075,31.23,121.47,39.93,116.4,0.0103985705319328,0.497013631102855,10.9821514786019,36.59114,103.9404,1839.95,1090.58,0.0319153,NA,NA,2.1464931707291,0,699.728774648436,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3.12183714961132,"China","Upper middle income","Emerging","Asia","NO","Asia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0.431918222111563,0.703138340439921,0.397214042838443,0.0554910970914583,0,0,6.49723730545634,0,NA,0,0,NA,0,0.421046241553652,0.352326191158374,NA,NA,NA,NA,9.3976130062964,9.3976130062964,0,0,0,0,0,0,TRUE,0,0,0,NA,NA,NA,9.3976130062964,9.3976130062964,15983.52,-706
"150432","TWN",2020-01-09,"East Asia & Pacific","Eastern Asia",23855008,NA,NA,42.2,NA,8.353,80.46,0,0,0,0,NA,NA,NA,0,0,0,0,473.322580645161,1.98416441799207,499.151883387968,2.09244064553643,0,0,0,0,0,0,4,0.86,0.697,1,20,56,37,93,10,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.02,121.45,25.02,121.45,0.104450268891128,0.708751278908246,49.7337917472088,23.64485,121.0021,1150.337,27.0496,0.4370258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,17.3829583992733,"Taiwan","High income","Advanced","Asia","NO","Asia",0,0,0,0,0,0,0,0,0,0,0,0,-0.00826032795515055,-0.0186087086893149,-0.00713829554695972,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0.424743491624534,0.665745224978611,0.391609952186892,0.0554612899088958,0,0,6.52939280994449,-0.00149757002945369,NA,NA,NA,NA,NA,0.418748029794204,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,0,0,0,NA,NA,NA,NA,NA,51260.91,-706
"25925","CHN",2020-01-10,"East Asia & Pacific","Eastern Asia",1444216102,4.34,147.674,38.7,10.641,5.929,76.91,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,-1256.89410338217,-0.0897749439935838,0,0,0,0,5,0.077,0.05,0,216,11,-1,10,-7,FALSE,0,0,0.5,38.5,76.912,10500.3956159637,17311.9979202848,61.428,11.9682712029347,17.7118153851715,29.2211219931075,31.23,121.47,39.93,116.4,0.0103985705319328,0.497013631102855,10.9821514786019,36.59114,103.9404,1839.95,1090.58,0.0319153,NA,NA,2.1464931707291,0,699.728774648436,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3.12183714961132,"China","Upper middle income","Emerging","Asia","NO","Asia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0.431918222111563,0.703138340439921,0.397214042838443,0.0654496869395138,0,0,4.78993407190577,0,NA,0,0,NA,0,0.421046241553652,0.352326191158374,NA,NA,NA,NA,9.3976130062964,9.3976130062964,0,0,0,0,0,0,TRUE,0,0,0,NA,NA,NA,9.3976130062964,9.3976130062964,15983.52,-705
"150419","TWN",2020-01-10,"East Asia & Pacific","Eastern Asia",23855008,NA,NA,42.2,NA,8.353,80.46,0,0,0,0,NA,NA,NA,0,0,0,0,473.322580645161,1.98416441799207,499.151883387968,2.09244064553643,0,0,0,0,0,0,5,0.86,0.697,1,20,56,37,93,10,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.02,121.45,25.02,121.45,0.104450268891128,0.708751278908246,49.7337917472088,23.64485,121.0021,1150.337,27.0496,0.4370258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,17.3829583992733,"Taiwan","High income","Advanced","Asia","NO","Asia",0,0,0,0,0,0,0,0,0,0,0,0,-0.00826032795515055,-0.0186087086893149,-0.00713829554695972,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0.424743491624534,0.665745224978611,0.391609952186892,0.0654563072966554,0,0,4.81363995477659,-0.00149757002945369,NA,NA,NA,NA,NA,0.418748029794204,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,0,0,0,NA,NA,NA,NA,NA,51260.91,-705
"25788","CHN",2020-01-11,"East Asia & Pacific","Eastern Asia",1444216102,4.34,147.674,38.7,10.641,5.929,76.91,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,-1256.89410338217,-0.0897749439935838,0,0,0,0,6,0.077,0.05,0,216,11,-1,10,-7,FALSE,0,0,0.5,38.5,76.912,10500.3956159637,17311.9979202848,61.428,11.9682712029347,17.7118153851715,29.2211219931075,31.23,121.47,39.93,116.4,0.0103985705319328,0.497013631102855,10.9821514786019,36.59114,103.9404,1839.95,1090.58,0.0319153,NA,NA,2.1464931707291,0,699.728774648436,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3.12183714961132,"China","Upper middle income","Emerging","Asia","NO","Asia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00857745190322507,NA,0.00857745190322507,0,0,0,0,0,0,NA,NA,NA,0.431918222111563,0.703138340439921,0.397214042838443,0.0429258352582409,0,0,4.64765880244322,0,NA,0,0,NA,0,0.421046241553652,0.352326191158374,NA,NA,NA,NA,9.3976130062964,9.3976130062964,0,0,0,0,0,0,TRUE,0,0,0,NA,NA,NA,9.3976130062964,9.3976130062964,15983.52,-704
"150527","TWN",2020-01-11,"East Asia & Pacific","Eastern Asia",23855008,NA,NA,42.2,NA,8.353,80.46,0,0,0,0,NA,NA,NA,0,0,0,0,473.322580645161,1.98416441799207,499.151883387968,2.09244064553643,0,0,0,0,0,0,6,0.86,0.697,1,20,56,37,93,10,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.02,121.45,25.02,121.45,0.104450268891128,0.708751278908246,49.7337917472088,23.64485,121.0021,1150.337,27.0496,0.4370258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,17.3829583992733,"Taiwan","High income","Advanced","Asia","NO","Asia",0,0,0,0,0,0,0,0,0,0,0,0,-0.00826032795515055,-0.0186087086893149,-0.00713829554695972,0.00857745190322507,NA,0.00857745190322507,0,0,0,0,0,0,NA,NA,NA,0.424743491624534,0.665745224978611,0.391609952186892,0.0425329197174897,0,0,4.67066055017927,-0.00149757002945369,NA,NA,NA,NA,NA,0.418748029794204,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,0,0,0,NA,NA,NA,NA,NA,51260.91,-704
"25896","CHN",2020-01-12,"East Asia & Pacific","Eastern Asia",1444216102,4.34,147.674,38.7,10.641,5.929,76.91,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,-1256.89410338217,-0.0897749439935838,0,0,0,0,0,0.077,0.05,0,216,11,-1,10,-7,FALSE,0,0,0.5,38.5,76.912,10500.3956159637,17311.9979202848,61.428,11.9682712029347,17.7118153851715,29.2211219931075,31.23,121.47,39.93,116.4,0.0103985705319328,0.497013631102855,10.9821514786019,36.59114,103.9404,1839.95,1090.58,0.0319153,NA,NA,2.1464931707291,0,699.728774648436,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3.12183714961132,"China","Upper middle income","Emerging","Asia","NO","Asia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100070272204292,NA,0.0100070272204292,0,0,0,0,0,0,NA,NA,NA,0.431918222111563,0.703138340439921,0.397214042838443,0.0467189270720239,0,0,3.84143227548879,0,NA,0,0,NA,0,0.421046241553652,0.352326191158374,NA,NA,NA,NA,9.3976130062964,9.3976130062964,0,0,0,0,0,0,TRUE,0,0,0,NA,NA,NA,9.3976130062964,9.3976130062964,15983.52,-703
"150650","TWN",2020-01-12,"East Asia & Pacific","Eastern Asia",23855008,NA,NA,42.2,NA,8.353,80.46,0,0,0,0,NA,NA,NA,0,0,0,0,473.322580645161,1.98416441799207,499.151883387968,2.09244064553643,0,0,0,0,0,0,0,0.86,0.697,1,20,56,37,93,10,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.02,121.45,25.02,121.45,0.104450268891128,0.708751278908246,49.7337917472088,23.64485,121.0021,1150.337,27.0496,0.4370258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,17.3829583992733,"Taiwan","High income","Advanced","Asia","NO","Asia",0,0,0,0,0,0,0,0,0,0,0,0,-0.00826032795515055,-0.0186087086893149,-0.00713829554695972,0.0100070272204292,NA,0.0100070272204292,0,0,0,0,0,0,NA,NA,NA,0.424743491624534,0.665745224978611,0.391609952186892,0.0463071691738336,0,0,3.86044392412776,-0.00149757002945369,NA,NA,NA,NA,NA,0.418748029794204,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,0,0,0,NA,NA,NA,NA,NA,51260.91,-703
"25799","CHN",2020-01-13,"East Asia & Pacific","Eastern Asia",1444216102,4.34,147.674,38.7,10.641,5.929,76.91,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,-1256.89410338217,-0.0897749439935838,0,0,0,0,1,0.077,0.05,0,216,11,-1,10,-7,FALSE,0,0,0.5,38.5,76.912,10500.3956159637,17311.9979202848,61.428,11.9682712029347,17.7118153851715,29.2211219931075,31.23,121.47,39.93,116.4,0.0103985705319328,0.497013631102855,10.9821514786019,36.59114,103.9404,1839.95,1090.58,0.0319153,NA,NA,2.1464931707291,0,699.728774648436,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3.12183714961132,"China","Upper middle income","Emerging","Asia","NO","Asia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114366025376334,NA,0.0114366025376334,0,0,0,0,0,0,NA,NA,NA,0.431918222111563,0.703138340439921,0.397214042838443,0.0453620612785027,0,0,2.65580502996756,0,NA,0,0,NA,0,0.421046241553652,0.352326191158374,NA,NA,NA,NA,9.3976130062964,9.3976130062964,0,0,0,0,0,0,TRUE,0,0,0,NA,NA,NA,9.3976130062964,9.3976130062964,15983.52,-702
"150499","TWN",2020-01-13,"East Asia & Pacific","Eastern Asia",23855008,NA,NA,42.2,NA,8.353,80.46,0,0,0,0,NA,NA,NA,0,0,0,0,473.322580645161,1.98416441799207,499.151883387968,2.09244064553643,0,0,0,0,0,0,1,0.86,0.697,1,20,56,37,93,10,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.02,121.45,25.02,121.45,0.104450268891128,0.708751278908246,49.7337917472088,23.64485,121.0021,1150.337,27.0496,0.4370258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,17.3829583992733,"Taiwan","High income","Advanced","Asia","NO","Asia",0,0,0,0,0,0,0,0,0,0,0,0,-0.00826032795515055,-0.0186087086893149,-0.00713829554695972,0.0114366025376334,NA,0.0114366025376334,0,0,0,0,0,0,NA,NA,NA,0.424743491624534,0.665745224978611,0.391609952186892,0.0449536826535478,0,0,2.66894888581672,-0.00149757002945369,NA,NA,NA,NA,NA,0.418748029794204,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,0,0,0,NA,NA,NA,NA,NA,51260.91,-702
"25705","CHN",2020-01-14,"East Asia & Pacific","Eastern Asia",1444216102,4.34,147.674,38.7,10.641,5.929,76.91,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,-1256.89410338217,-0.0897749439935838,0,0,0,0,2,0.077,0.05,0,216,11,-1,10,-7,FALSE,0,0,0.5,38.5,76.912,10500.3956159637,17311.9979202848,61.428,11.9682712029347,17.7118153851715,29.2211219931075,31.23,121.47,39.93,116.4,0.0103985705319328,0.497013631102855,10.9821514786019,36.59114,103.9404,1839.95,1090.58,0.0319153,NA,NA,2.1464931707291,0,699.728774648436,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3.12183714961132,"China","Upper middle income","Emerging","Asia","NO","Asia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128661778548376,NA,0.0128661778548376,0,0,0,0,0,0,NA,NA,NA,0.431918222111563,0.703138340439921,0.397214042838443,0.0453208618711963,0,0,2.13412904193822,0,NA,0,0,NA,0,0.421046241553652,0.352326191158374,0,0,0,0,9.3976130062964,9.3976130062964,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,9.3976130062964,9.3976130062964,15983.52,-701
"150485","TWN",2020-01-14,"East Asia & Pacific","Eastern Asia",23855008,NA,NA,42.2,NA,8.353,80.46,0,0,0,0,NA,NA,NA,0,0,0,0,473.322580645161,1.98416441799207,499.151883387968,2.09244064553643,0,0,0,0,0,0,2,0.86,0.697,1,20,56,37,93,10,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.02,121.45,25.02,121.45,0.104450268891128,0.708751278908246,49.7337917472088,23.64485,121.0021,1150.337,27.0496,0.4370258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,17.3829583992733,"Taiwan","High income","Advanced","Asia","NO","Asia",0,0,0,0,0,0,0,0,0,0,0,0,-0.00826032795515055,-0.0186087086893149,-0.00713829554695972,0.0128661778548376,NA,0.0128661778548376,0,0,0,0,0,0,NA,NA,NA,0.424743491624534,0.665745224978611,0.391609952186892,0.0449110766639323,0,0,2.14469106895987,-0.00149757002945369,NA,NA,NA,NA,NA,0.418748029794204,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,FALSE,0,0,0,0,0,0,NA,NA,51260.91,-701
"25710","CHN",2020-01-15,"East Asia & Pacific","Eastern Asia",1444216102,4.34,147.674,38.7,10.641,5.929,76.91,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,-1552.81011701176,-0.110911047249153,0,0,0,0,3,0.077,0.05,0,216,11,-1,10,-7,FALSE,0,0,0.5,38.5,76.912,10500.3956159637,17311.9979202848,61.428,11.9682712029347,17.7118153851715,29.2211219931075,31.23,121.47,39.93,116.4,0.0103985705319328,0.497013631102855,10.9821514786019,36.59114,103.9404,1839.95,1090.58,0.0319153,NA,NA,2.1464931707291,0,699.728774648436,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2.42610847529826,"China","Upper middle income","Emerging","Asia","NO","Asia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142957531720418,NA,0.0142957531720418,0,0,0,0,0,0,NA,NA,NA,0.431918222111563,0.703138340439921,0.397214042838443,0.0528056296081149,0,0,21.4170572435334,0,NA,0,0,NA,0,0.421046241553652,0.352326191158374,0,0,0,0,9.3976130062964,9.3976130062964,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,9.3976130062964,9.3976130062964,15983.52,-700
